Article No.,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
137,Immersive virtual reality as a teaching tool for neuroanatomy.,2017,7,anatomy; education; medical student; motivation; neuroanatomy; Oculus; virtual reality,233,International Forum of Allergy & Rhinology,"Background Three-dimensional (3D) computer modeling and interactive virtual reality (VR) simulation are validated teaching techniques used throughout medical disciplines. Little objective data exists supporting its use in teaching clinical anatomy. Learner motivation is thought to limit the rate of utilization of such novel technologies. The purpose of this study is to evaluate the effectiveness, satisfaction, and motivation associated with immersive VR simulation in teaching medical students neuroanatomy. Methods Images of normal cerebral anatomy were reconstructed from human Digital Imaging and Communications in Medicine (DICOM) computed tomography (CT) imaging and magnetic resonance imaging (MRI) into 3D VR formats compatible with the Oculus Rift VR System, a head-mounted display with tracking capabilities allowing for an immersive VR experience. The ventricular system and cerebral vasculature were highlighted and labeled to create a focused interactive model. We conducted a randomized controlled study with 66 medical students (33 in both the control and experimental groups). Pertinent neuroanatomical structures were studied using either online textbooks or the VR interactive model, respectively. We then evaluated the students' anatomy knowledge, educational experience, and motivation (using the Instructional Materials Motivation Survey [IMMS], a previously validated assessment). Results There was no significant difference in anatomy knowledge between the 2 groups on preintervention, postintervention, or retention quizzes. The VR group found the learning experience to be significantly more engaging, enjoyable, and useful (all p < 0.01) and scored significantly higher on the motivation assessment ( p < 0.01). Conclusion Immersive VR educational tools awarded a more positive learner experience and enhanced student motivation. However, the technology was equally as effective as the traditional text books in teaching neuroanatomy. [ABSTRACT FROM AUTHOR]",Journal
138,Immersive virtual reality as an action: measuring approach and learning status of learners after planning myVOR.,2020,1,attitude; behaviour; immersive; learning; reaction; Virtual reality,2,Educational Media International,"This research investigates the learning progress and bottlenecks of students during learning via an immersive virtual reality environment. At the planning stage of this action research, an immersive virtual reality learning environment – myVOR- was designed and developed to teach concepts and procedures. myVOR was developed using the Unity game engine. Depth-camera integrated Head Mounted Display was used to support the skill training of learners via intuitive gesture interaction. In the action stage, myVOR was applied to fourteen 3rd year nursing students, once a week for a month. Qualitative and quantitative data were gathered to analyse learning status and, the fluctuation among sessions concerning behaviours, attitudes, reactions. Data were collected from video recordings, myVOR logs, interviews, and an information exam. The results indicated that myVOR was sufficient to teach concepts and complex procedures. However, the learners experienced problems before adapting the used technology, and this affected their behaviours and attitudes during training. The findings of this research support the requirement for a comprehensive needs analysis before designing immersive virtual reality learning environments. [ABSTRACT FROM AUTHOR]",Journal
139,Immersive virtual reality or auditory text first? Effects of adequate sequencing and prompting on learning outcome.,2021,5,,2,British Journal of Educational Technology,"Presenting a pictorial representation followed by a textual representation supports learners to build a coherent mental model. Providing an elaboration prompt stimulates learners to process the learning content semantically. Hence, combining both approaches might result in synergetic effects as both foster mental model development, which could be particularly challenging in immersive virtual environments. In our 2 × 2 between‐subject design study, we investigated the beneficial effects of adequate sequencing of text and picture and prompting, as well as their potential synergic effect in an immersive virtual reality (VR) learning environment with N = 81 learners. We presented the learning content in form of one pictorial and one textual representation and varied their presentation sequence: pictorial followed by textual representation or textual followed by pictorial representation. As the pictorial representation, we used a VR animation displaying a service robot. As the textual representation, we chose an auditory text about robotics. Additionally, we varied whether or not learners received an elaboration prompt before the learning unit started. We measured learning outcome differentiated for knowledge, comprehension, and application levels. We found beneficial effects for VR animation followed by auditory text on the knowledge level, only. Prompting led to a beneficial effect only on the application level. We found no synergic effect of adequate sequencing and prompting on learning outcome. Hence, depending on the level of learning outcome targeted, different support approaches are advisable. Future research might consider the long‐term effects of adequate sequencing and prompting or different approaches to measuring mental models. Practitioner notesWhat is already known about this topic? Learning in Virtual Reality (VR) is a promising approach to present the learning material but does not per se guarantee deep learning and the development of a correct mental model.Prior findings imply that presenting pictorial representations first fosters mental model development.Beneficial effects of stimulating learners by an elaboration prompt before learning in virtual reality have been reported.Previous studies imply that instructional design and activation of learners might have synergetic, beneficial effects on learning outcome.What this paper adds We investigated the effects of sequencing order (VR animation or auditory text first) and prompting (with or without) on different levels of learning outcome.We found beneficial effects on the knowledge level when VR animation was presented first, while prompting fostered the application level.No synergetic effects of VR animation first and prompting were found as both support approaches seem to impact different levels of learning outcome.Implications for practice and/or policy Depending on the level of learning outcome that should be fostered while learning in VR, different support approaches are advisable.Presenting a VR animation first fosters learning of basic concepts and definitions at the knowledge level.Using an elaboration prompt before learning in VR enables the learners to process the content deeply.Presenting VR animations first can serve as a brief scaffold for the mental models and additional details can be added in the further learning process. [ABSTRACT FROM AUTHOR]",Journal
140,Immersive VR for Organic Chemistry: Impacts on Performance and Grades for First-Generation and Continuing-Generation University Students.,2021,4,Chemistry education; Educational technology; Immersive virtual reality; STEM education; Virtual reality,8,Innovative Higher Education,"Rapid advances in the quality and accessibility of immersive virtual reality (IVR) have brought about intense interest in applications of the technology within higher education, including STEM (science, technology, engineering, mathematics) teaching and learning. However, evidence is mixed on the effectiveness of IVR for STEM teaching and learning, and there are currently few models of how best to incorporate these activities into typical STEM courses. We created a sequence of IVR activities for teaching concepts in organic chemistry and carried out an experimental investigation on the impacts of these on student performance, with special focus on student characteristics including first-generation college student status, gender, and ethnicity. Two sections of Organic Chemistry were compared; in one randomly assigned section, students had the option of completing these IVR activities, and in the other, they did not. Results showed a trend towards improved course grades and final exam scores in the section offered IVR activities, particularly for first-generation college students. These findings suggest that IVR can be a practical and effective way to reinforce learning and student success in realistic university STEM settings, especially for certain demographic subgroups. [ABSTRACT FROM AUTHOR]",Journal
141,ImmerTai: Immersive Motion Learning in VR Environments.,2019,7,Immersive education; Motion training; VR education,43,Journal of Visual Communication & Image Representation,"Highlights • We designed and implemented the ImmerTai system for immersive Taichi learning. • We established a Taichi motion dataset consisting of 150 captured motion. • We developed and evaluated a set of motion quality assessment methods. • We objectively evaluated ImmerTai in CAVE, HMD, and PC environments. • We studied and analyzed the user experience according to key VR factors. Abstract Immersive learning in Virtual Reality (VR) environments is the developing trend for future education systems including remote physical training. This paper presents ""ImmerTai"", a system that is designed for effective remote motion training, particularly for Chinese Taichi, in an immersive way. With ImmerTai, the Taichi expert's motion is captured and delivered to remote students in CAVE, HMD and PC environments for learning. The students' motions are also captured for motion quality assessment and a group of students can form a virtual collaborative learning scenario. We built up a Taichi motion dataset with ground truth of motion quality, and based on this, we developed and evaluated several motion quality assessment methods. Then, user tests were designed and carried out to measure and compare the learning outcomes (learning time, quality and overall efficiency) of students in Cave Automatic Virtual Environment (CAVE), Head Mounted Display (HMD) and Personal Computer (PC) environments. Meanwhile, the connections between students' learning outcomes and their VR experience were investigated and discussed too. Our results show that ImmerTai can accelerate the learning process of students noticeably (up to 17%) compared to non-immersive learning with the conventional PC setup. However, we observed a substantial difference in the quality of the learnt motion between CAVE (26% gain) and HMD (23% drop) compared to PC (baseline). While strong VR presence can enhance the learning experience of students, their learning outcomes are not fully consistent to their experience. Overall, ImmerTai with CAVE demonstrated a significantly higher learning efficiency than other tested environments. [ABSTRACT FROM AUTHOR]",Journal
142,Impact of immersing university and high school students in educational linear narratives using virtual reality technology.,2020,2,Augmented and virtual reality; Secondary education; Post-secondary education,56,Computers & Education,"Immersive Virtual Reality (VR) is in its early days of educational adoption. This research aims to explain the benefits of VR in transforming learning and student experiences in classrooms. The experiment involved students using an educational VR experience that features an immersive narrative that puts students in the centre of a historical moment in World War Two. Two separate studies were conducted. One with high school students in Australia who would normally be studying the topic. And the other, University students in India, with no prior knowledge or awareness of the topic. Student participants used one of two different versions of Kokoda VR; six-degrees of freedom virtual reality or 360° video. Both the university and high school students using the virtual reality condition reported higher engagement, presence, empathy and better knowledge mastery than the 360° video groups. These features were also slightly higher in the university student group than in the high school student group except for the knowledge mastery where the high school students performed better. These findings indicate there is potential for immersive narrative VR experiences to provide students with new experiences and provide both cognitive and affective benefits. • Immersive VR can increase cognitive and affective outcomes in student learning. • Higher affective scores for university students when using immersive VR. • Higher test scores for high school students due to deeper perception experience. • Higher affective and cognitive scores for immersive VR compared to 360° video. [ABSTRACT FROM AUTHOR]",Journal
143,Implementing and evaluating novel safety training methods for construction sector workers: Results of a randomized controlled trial.,2020,11,Virtual reality; Human factors safety training; Safety self-efficacy; Safety locus of control; Safety motivation,36,Journal of Safety Research,"• VR-based safety training has potential to increase safety competencies. • VR-based training offers an effective method for boosting safety self-efﬁcacy. • Even small technical issues may inﬂuence outcomes related to VR-based safety training. • The broader form of Human Factors safety training should be evaluated in the future. Introduction: The construction industry is regarded as one of the most unsafe occupational fields worldwide. Despite general agreement that safety training is an important factor in preventing accidents in the construction sector, more studies are needed to identify effective training methods. To address the current research gap, this study evaluated the impact of novel, participatory safety training methods on construction workers' safety competencies. Specifically, we assessed the efficacy of an immersive virtual reality (VR)-based safety training program and a participatory human factors safety training program (HFST) in construction industry workplaces. Method: In 2019, 119 construction sector workers from eight workplaces participated in a randomized controlled trial conducted in Finland. All the study participants were assessed using questionnaires at baseline, immediately after the intervention and at one-month follow-up. We applied generalized linear mixed modeling for statistical analysis. Results: Compared to lecture-based safety training, VR-based safety training showed a stronger impact on safety motivation, self-efficacy and safety-related outcome expectancies. In addition, the construction sector workers who participated in the VR-based safety training showed a greater increase in self-reported safety performance at one-month follow-up. Contrary to our study hypotheses, we found no significant differences between the study outcomes in terms of study participants in the HFST training condition and the comparison condition without HFST training. Conclusion: Our study indicates that VR technology as a safety training tool has potential to increase safety competencies and foster motivational change in terms of the safety performance of construction sector workers. In the future, the efficacy of participatory human factors safety training should be studied further using a version that targets both managerial and employee levels and is implemented in a longer format. Practical implications: Safety training in virtual reality provides a promising alternative to passive learning methods. Its motivating effect complements other safety training activities. [ABSTRACT FROM AUTHOR]",Journal
144,Instructional mechanisms in immersive virtual reality serious games: Earthquake emergency training for children.,2021,5,emergency training for children; feedback; instruction; instructional methods; problem-based gaming,22,Journal of Computer Assisted Learning,"Children are vulnerable in earthquakes, but they are also essential to foster earthquake‐resilient communities. It is critical to enhance the preparedness of children against earthquakes through effective education and training. Immersive virtual reality (IVR) and serious games (SGs) are innovative digital technologies that enable realistic and engaging training environments. However, little research has been made on the applications of IVR SGs for earthquake training targeting children. In order to fill this gap, this paper presents an IVR SG training system based on a problem‐based gaming framework. Three instructional mechanisms within the training system, namely prior instruction, immediate feedback, and post‐game assessment, were investigated to promote learning through effective reflection. A controlled experiment involving 125 secondary school students aged from 11 to 15 years old was undertaken, using leaflets as a traditional training approach for the control group and the IVR SG training system as the main intervention. Results revealed that the IVR SG training system with post‐game assessment was the most effective way to train children, with greater knowledge acquisition and self‐efficacy improvement observed. Possible improvements, such as increasing the time for reflection and differentiating the stimulation between positive and negative feedback, are suggested for further research. Lay Description: What is already known about this topic?: IVR SGs have potentials to train people in emergency behavioural responses, corresponding to problem‐based learning principles.Instructional mechanisms including immediate feedback, post‐game assessment, and prior instruction have been applied in IVR SGs in the literature. What this paper adds?: The present paper examines the pedagogical impacts of the three instructional mechanisms within IVR SGs.The present paper investigates the effectiveness of IVR SG‐based earthquake emergency training, targeting children. Implications for practice and/or policy: IVR SGs with the three instructional mechanisms effectively improve the self‐efficacy of children in the case of dealing with earthquake emergencies.IVR SGs with prior instruction and post‐game assessment facilitate learning, manifesting in significant knowledge gain after training.IVR SGs have the potential to train children in earthquake emergency responses. [ABSTRACT FROM AUTHOR]",Journal
145,Integrating interactive learner-immersed video-based virtual reality into learning and teaching of physical geography.,2020,4,Design and implements; Educational potential; Geography educations; Immersive virtual reality; Learning and teachings; Real world environments; Secondary schools; Technological innovation,48,British Journal of Educational Technology,"Immersive virtual reality (IVR) is regarded as one of the contemporary technological innovations with rich educational potential. As a subset of IVR, spherical video‐based IVR (SV‐IVR) immerses users centrally in a human‐recorded real‐world environment, allowing them to explore the environment in any directions via mobile phones and cardboard goggles. We have proposed a pedagogical framework—Learner‐Immersed Virtual Interactive Expedition (LIVIE), which leverages SV‐IVR to integrate immersive and interactive virtual inquiry‐based fieldwork into learning and teaching of physical geography. Besides discussing the design of LIVIE, this paper reports on the quasi‐experimental study that we carried out to evaluate its pedagogical effectiveness. The research subjects were 566 students from upper, middle and lower academic‐category secondary schools in Hong Kong. The study showed that LIVIE had different degrees of positive effects on the high, moderate and low academic‐achieving subjects. Our work not only provides evidence for supporting wider adoption of LIVIE in geography education, but it also sheds light on how to design and implement the pedagogical use of SV‐IVR in school education. [ABSTRACT FROM AUTHOR]",Journal
146,Investigating Engagement and Flow with a Placed-Based Immersive Virtual Reality Game.,2021,4,Engagement; Flow; Learning game; Place-based; Virtual reality,24,Journal of Science Education & Technology,"An immersive virtual reality (iVR) game for high school students to learn about locations in their watershed with a primary focus on their city was designed and developed, employing a design model that focuses on flow. An exploratory study with the iVR game was conducted in an urban school in the eastern USA with 57 adolescents ages 16–18 from a population that is economically disadvantaged and includes students who are typically unengaged in traditional school-based learning environments. After game completion, the participants completed a 10-item survey measuring elements of flow and a 12-item survey designed to measure perceptions toward learning with VR games, immersion and presence. Participant focus groups were conducted with an emphasis on features that promoted engagement, learning, immersion, and presence. The findings revealed that all students experienced a flow state when they played the iVR learning game. Almost all users (98.1%) had positive attitudes towards using the iVR game. Students experienced high immersion and presence. In addition, students had favorable attitudes towards learning with iVR games in school environments. [ABSTRACT FROM AUTHOR]",Journal
147,Learning experience design with immersive virtual reality in physics education.,2021,3,Immersive virtual reality (VR); Inquiry-based learning; Learning environments; Learning experience (LX) design; Physics education; Technology-enhanced learning,9,Educational Technology Research & Development,"Immersive Virtual Reality (VR) simulations are argued to support students' learning of complex scientific phenomena via the use of realistic graphics and interactions that students can hardly experience in everyday life. However, the integration of immersive VR simulations in science classrooms introduces new challenges, whilst there is a lack of learning designs to inform practice. As part of this study, we firstly present a learning experience (LX) design seeking to introduce an immersive VR simulation in Physics classrooms to support high-school students' understanding of the Special Theory of Relativity. Then, we present an empirical investigation on the enactment and evaluation of the proposed LX design, with 109 high-school students (10–11th graders). A mixed-method approach was adopted to evaluate students' conceptual learning gains along with their perceptions of the learning experience, encompassing the immersive VR simulation and the inquiry-based learning process adopted. We reflect on our LX design aimed at the integration of an immersive VR simulation in an inquiry-based learning environment and we highlight questions for further research. [ABSTRACT FROM AUTHOR]",Journal
148,"Motivation, engagement, and performance across multiple virtual reality sessions and levels of immersion.",2021,4,engagement; immersion; motivation; novelty effect; STEM education; virtual reality,32,Journal of Computer Assisted Learning,"This study investigated changes in learners' motivation, engagement, performance, and spatial reasoning over time and across different levels of virtual reality (VR) immersion. Undergraduate participants explored a virtual solar system via a moderately immersive or highly immersive VR platform over three sessions. In a third condition, participants initially learned with moderate immersion and transitioned to higher immersion after the second session. Following research on novelty effects, we explored whether subjective experiences and performance would decline over time (e.g., decreasing motivation or performance) as participants became familiar with the virtual environment and tools. However, we hypothesized that transitional immersion (i.e., switching from moderate to higher immersion) might lead to a renewed sense of novelty. Results suggested that both moderate and higher levels of immersion were motivating, engaging, and supportive of learning. In contrast to predictions based on novelty effects, these outcomes did not decline overall as learners gained familiarity with the systems. However, transitional immersion emerged as a promising and testable pedagogical approach for future VR education. All participants also showed gains in spatial reasoning. Lay Description: What is already known about this topic?: Virtual reality can support motivation and learning in STEM education.Novelty may elicit motivation, engagement and learning.Virtual reality may benefit development of spatial reasoning skills. What this paper adds?: Motivation, engagement and performance persist across multiple sessions of VR learning.Switching from moderate to higher immersion increases motivation and engagement.Both moderate and higher immersion support improvements in spatial reasoning. Implications for practice and/or policy: Novelty effects are not a significant concern when implementing VR education over multiple sessions.More immersive VR tools may be progressively introduced during learning. [ABSTRACT FROM AUTHOR]",Journal
149,OPPORTUNITY TO COMPLEMENT AND ENHANCE PRE-TREATMENT EDUCATION FOR CAREGIVERS USING VIRTUAL REALITY.,2022,,,,Oncology Nursing Forum,"Educating patients and their caregivers before oncology treatment commences is an accepted standard of care that typically consists of in-person oral and written information. However, caregivers may have different learning requirements in which they may benefit from an additional educational approach. Virtual reality (VR) could be an innovative educational modality to complement the delivery of standard pre-treatment information by offering an immersive experience. The purpose of this study was to describe caregivers' pre-treatment oncology education experiences and whether the addition of visual aids could improve their experiences. A qualitative descriptive study was conducted to guide the future development of a VR experience for caregivers. Participants responded to anonymous demographic and qualitative surveys posted on social media sites. These open-ended surveys were designed to elicit caregivers' experiences receiving pre-treatment education and whether visual aids, described as a video or model, could complement and enhance standard education. Demographic data were calculated using descriptive analyses and qualitative data were analyzed using an inductive coding approach. Participants (N=12) were mostly female (n=10, 83%), white (n=9, 75%), married (n=10, 83%), and well-educated (n=8, 67%). They categorically ranged in age from 26 years to above 65 years. Types of pre-treatment education received were in-person, oral, and written information. One participant received an immersive VR experience to complement pre-treatment preparation. Participants responded that visual aids could improve their experience receiving pre-treatment education by facilitating a better understanding of various procedures, creating a reduction of paperwork, and assisting them with the organization of information. The types of pre-treatment education caregivers received, such as in-person oral and written information, were congruent with standards of pre-treatment care. However, caregivers expressed a visual component could improve their ability to comprehend and organize information. This finding highlights the need to test different visual modalities that could better prepare and provide an enhanced experience for caregivers. VR could be an innovative visual aid immersing both patients and caregivers in the treatment environment. Incorporating different forms of visual technology could offer a robust and enhanced approach to standard pre-treatment education. In alignment with ONS' strategic priorities, exploring caregivers' pre-treatment experiences leads to opportunities to cultivate a spirit of inquiry in which VR could transform how educational content is delivered and reinforced. [ABSTRACT FROM AUTHOR]",
150,Process and Outcome-based Evaluation between Virtual Reality-driven and Traditional Construction Safety Training.,2022,6,Construction safety; Embodied cognition; Safety training; Virtual reality; Immersive technology; Hazard recognition,3,Advanced Engineering Informatics,"• The study investigated the effectiveness of VR-driven immersive safety training. • Both process and outcome-based data were collected for empirical analyses. • VR-based training outperformed the traditional safety training. • Embodied cognition theory was applied in the VR-based safety training. • VR-based education motivates individual trainees through multiple bodily sensory engagements. The emerging digital technologies such as virtual reality (VR) provide an alternative platform for construction safety training. In order to explore how digital-driven technologies affect the effectiveness of safety training, there is a need to empirically test the differences in performance between digital 3D/VR safety training and traditional 2D/paper approach. This research conducted a performance evaluation that emphasises both the training process and learning outcomes of trainees based on researchers' self-developed immersive construction safety training platform. Data related to physiological indicators such as skin resistance were collected to measure safety performance before and after the training. The detailed measurement indicators included nine categories (e.g., immersion, inspiration) to form a holistic list of evaluation dimensions. The findings revealed that VR-driven immersive safety training outperformed the traditional way for trainees in terms of both process and outcome-based indicators. Results confirmed that safety training was no longer constrained by understanding or memorizing 2D information (texts and images). Instead, trainees experienced a stronger sense of embodied cognition through the immersive experience and multi-sensory engagement by interacting with the VR-driven system. By engaging the theory of embodied cognition, this research provides both the empirical evidence and in-depth analysis of how immersive virtual safety training outperforms traditional training in terms of both training process and outcomes. [ABSTRACT FROM AUTHOR]",Journal
151,Prototyping and Validating a Non-immersive Virtual Reality Serious Game for Healthcare Fire Safety Training.,2021,4,Fire safety; Hospital; Intrinsic motivation; Knowledge; Self-efficacy; Virtual reality,21,Fire Technology,"In a healthcare context, the success of a fire safety procedure in a real-life emergency mainly depends on staff decisions and actions. One of the factors influencing staff decision-making is their training. In most healthcare facilities, safety educators use slide-based lectures as a training tool. Virtual Reality (VR) is gaining fire safety community attention for being an interesting training tool. However, few studies have assessed the effectiveness of VR-based fire safety training simulators compared with a slide-based lecture. The present research proposes a novel non-immersive VR-based training for healthcare fire safety education. This paper describes the prototyping steps required to develop a non-immersive VR serious game (SG) to train the staff of Vincent Van Gogh (VVG) hospital in Belgium. The paper finally validates the VR SG comparing its effectiveness against slide-based lecture training. 78 staff from VVG hospital in Belgium participated in this study. They were divided into two groups: Group A was trained using a slide-based lecture, and Group B was trained using the VR SG. The results indicated that the VR SG was more effective than the slide-based lecture in terms of knowledge acquisition and retention and in terms of self-efficacy increment in short and long terms than the slide-based lecture. [ABSTRACT FROM AUTHOR]",Journal
152,Safety knowledge transfer through mobile virtual reality: A study of aviation life preserver donning.,2018,4,Aviation safety; Virtual reality; Mobile devices; Safety education; Safety training,77,Safety Science,"Aviation safety knowledge is a key factor in determining how passengers will respond in an emergency, but the effectiveness of the tools (preflight safety briefing, safety briefing card) used by airlines to educate passengers about safety has been shown to be lacking. This paper explores how one of these tools could be made interactive in order to increase its effectiveness. In particular, we use Virtual Reality (VR) techniques, adapting them to the constraints imposed by on-board aircraft use, such as usage on non-immersive, small displays. As a practical application, the paper examines aviation life preserver donning, which the literature has shown to be particularly difficult for passengers. To evaluate the proposed mobile VR tool, we contrasted it with the traditional safety briefing card in a between-groups study with 68 participants, age 20–24, focusing on different aspects of effectiveness. The results of the study show that the participants who used the mobile VR tool were able to transfer the presented safety knowledge to the real world, and don an aviation life preserver significantly faster and with fewer errors than participants who used the traditional briefing card. Moreover, these objective results were consistent with subjective ratings by participants; the mobile VR tool was perceived as significantly more engaging, simpler, and more effective than the traditional briefing card. Finally, participants who used the mobile VR tool attained a higher level of self-efficacy. The generalizability of these results would benefit with additional work aimed at an older age cohort that would ostensibly be less familiar with interactive VR technology. [ABSTRACT FROM AUTHOR]",Journal
153,Scaffolding in immersive virtual reality environments for learning English: an eye tracking study.,2022,5,English as a Foreign Language; Eye tracking; Scaffolding; Spatial contiguity; Virtual reality,6,Educational Technology Research & Development,"Scaffolding is a mechanism for helping novice learners to solve a problem or complete a task that is beyond their current skill set. Prior research on immersive virtual reality (IVR) environments with scaffolding has mainly focused on the effectiveness of scaffolding for conceptual understanding and information processing. However, research on defining guidelines for designing computer-based scaffolds for IVR is scarce. To fill this gap, some recommendations are provided in this paper on how to design scaffolds for IVR environments for teaching English as a Foreign Language (EFL). An eye-tracking study was conducted with N = 41 university students from three EFL courses that used two versions of an IVR application for learning and practicing prepositions of place in English with different scaffolding mechanisms and in different contexts: a context in which the participant can move through the virtual space and a context in which the participant remains seated. A comparative analysis was conducted to determine which scaffolds were more appropriate for learning in IVR. This study extends previous research on scaffolding in IVR environments by suggesting some empirical evidence, collected from eye-tracking, of the effectiveness of different types of scaffolds in IVR environments and some design guidelines are provided. The results showed that scaffolds that are naturally embedded in the IVR environment and are closer to the objects that students need to interact with, are more effective for increasing their learning performance. Practical implications of this study for instructional designers and developers include: scaffolds should be designed considering the spatial contiguity principle and should be naturally blended with the VR environment. Scaffolds should direct students attention to the most important information and scaffolds can be provided in different forms (text, images and on-site indicators). [ABSTRACT FROM AUTHOR]",Journal
154,The Effects of Virtual Reality News on Learning about Climate Change.,2022,8,,7,Mass Communication & Society,"Promoting public knowledge about climate is important for garnering support for climate-change policy, and researchers have begun to study the effectiveness of new technologies as learning tools. News organizations are increasingly producing immersive journalism, including virtual reality (VR) and augmented reality (AR), and this study tests whether VR news can be an effective tool for learning about climate change. Based on results from a controlled, in-person laboratory experiment comparing an immersive VR news story to 360°-video and text-with-images versions, we find no main effects on the learning outcomes. However, we do find indirect effects on cognitive elaboration, which are conditional on preexisting knowledge about climate change. Results are discussed in light of their implications for theory about learning in multimedia environments, as well as their implications for the science of science communication. [ABSTRACT FROM AUTHOR]",Journal
155,The Effects of Virtual Reality Nonphysical Mental Training on Balance Skills and Functional Near-Infrared Spectroscopy Activity in Healthy Adults.,2022,6,action observation; immersive technology; motor imagery; motor skill; postural control,2,Journal of Sport Rehabilitation,"Context: Athletic skills such as balance are considered physical skills. However, these skills may not just improve by physical training, but also by mental training. The purpose of this study was to investigate the effects of mental training programs on balance skills and hemodynamic responses of the prefrontal cortex. Design: Randomized controlled trial. Methods: Fifty-seven healthy adults (28 females, 29 males), aged between 18-25 years, participated in this study. Participants were randomly assigned to 3 groups: virtual reality mental training (VRMT) group, conventional mental training (CMT) group, and control group. The training program included action observation and motor imagery practices with balance exercise videos. The VRMT group trained with a VR head-mounted display, while the CMT group trained with a non-immersive computer screen, for 30 minutes, 3 days per week for 4 weeks. At baseline and after 4 weeks of training, balance was investigated with stabilometry and Star Excursion Balance Test (SEBT). Balance tests were performed with simultaneous functional near-infrared spectroscopy (fNIRS) imaging to measure prefrontal cortex oxygenation. Results: For the stabilometry test, at least 1 variable improved significantly in both VRMT and CMT groups but not in the control group. For SEBT, composite reach distance significantly increased in both VRMT and CMT groups but significantly decreased in the control group. For separate directional scores, reach distance was significantly increased in both mental training groups for nondominant leg posterolateral and posteromedial directions, and dominant leg posterolateral direction, while nondominant posteromedial score was significantly increased only in the VRMT group. Between-group comparisons showed that dominant leg posteromedial and posterolateral score improvements were significantly higher than control group for both mental training groups, while nondominant leg improvements were significantly higher than control group only for the VRMT group. The fNIRS oxyhemoglobin levels were not significantly changed during stabilometry tests. However, oxyhemoglobin levels significantly reduced only in the control group during SEBT. Conclusions: Our findings suggest that both mental training interventions can significantly improve balance test results. Additionally, VRMT may have some advantages over CMT. These findings are promising for the use of mental training in prevention and rehabilitation for special populations such as athletes and older adults. [ABSTRACT FROM AUTHOR]",Journal
156,The Effects of Virtual Reality Nonphysical Mental Training on Coordination and Skill Transfer in Healthy Adults.,2022,2,postural control; motor skill; motor learning; immersive technology; action observation; motor imagery,1,Journal of Sport Rehabilitation,"Context: Mental training is a promising method to improve motor skills. However, transfer of these improvements to different skills or functional activities is still unclear. The purpose of this study was to investigate the effects of mental balance training programs on motor coordination and skill transfer. Design: Randomized controlled trial. Methods: Fifty-seven healthy adults (28 females and 29 males) aged between 18 and 25 years participated in this study. Participants were randomly assigned to 3 groups: virtual reality (VR) mental training group, conventional mental training group, and control group. The training program included action observation and motor imagery practice with balance exercise videos. The VR mental training group trained with a VR head-mounted display and the conventional mental training group trained with a nonimmersive computer monitor for 30 minutes, 3 days per week, for 4 weeks. Coordination skills were tested with 2 separate custom-made obstacle course tests (OCT-1 and OCT-2). OCT tests included crouching, turning, leaning, stepping over, changing direction, walking on various surfaces, or using repeated hand and arm movement tasks. OCT-1 was used to investigate the effects of mental exercises on coordination skills, and OCT-2 to investigate transfer effects for novel tasks. Test time (total and corrected) and error types (minor, major, and total) were recorded. Touching an obstacle without changing its position was classified as a minor error, and changing its position was a major error. Results: OCT-1 test time and number of errors significantly decreased in the VR mental training and conventional mental training groups, but not in the control group. The number of minor errors was only decreased in the VR mental training group. For OCT-2, total and corrected time were not significantly different between the groups. However, both training groups were significantly superior to the control group for all types of errors. Conclusions: Our findings suggest that both training interventions can significantly improve coordination and skill transfer test results. In addition, VR mental training may have some advantages over conventional mental training. These findings are promising for the use of mental training for prevention and rehabilitation in special populations. [ABSTRACT FROM AUTHOR]",Journal
